Subject,Property,Object,SubjectType,PropertyTpe,ObjectType
Kunffy,Objekt-ID-String,6,Painting,GND,xsd:integer
Kunffy,Objekt-ID,Eindeutige Kennung des Objekts in der Datenbank,Painting,GND,xsd:string
Kunffy,Titel,Zwei Zigeuner,Painting,URL,xsd:string
Kunffy,Objekttyp_Medium_Technik,"Öl auf Leinwand, Maße	 73 × 92 cm",Painting,"GND, Getty AAT",xsd:string
Kunffy,Entstehungsdatum,1910,Painting,Datumsfeld,xsd:gYear
Kunffy,Entstehungsort,Land / Stadt / Region ?,Painting,GND,xsd:string
Kunffy,Autorin_Künstlerin_Regisseurin,"Name (ggf. mit Lebensdaten): Kunffy, Lajos (GND: 132187388)",Painting,GND,xsd:string
Kunffy,Beteiligte_Sichtbare_Personen,Name (ggf. mit Lebensdaten) Ermittlung der Namen (ggf. mit Lebensdaten) der abgebildeten Roma-Männer – Rechercheaufgabe im Nachlass von Kunffy sowie im Stadtarchiv.,Painting,GND-ID,anyURI
Kunffy,Sammlung_Archiv_Fundort,"Lajos Kunffy- Memorial-Museum, Somogytúr, Ungarn",Painting,URL,xsd:string
Kunffy,Provenienz,Ermittlung der Daten…,Painting,URL,xsd:gYear
Kunffy,Literatur,"
• Roma & Sinti : ""Zigeuner-Darstellungen"" der Moderne ; [Katalog zur Ausstellung Roma & Sinti. ""Zigeuner-Darstellungen"" der Moderne, 17. Juni bis 2. September 2007 ; Kooperationsprojekt der Kunsthalle Krems mit dem Ethnographischen Museum Budapest] 1. Aufl. Krems an der Donau: Kunsthalle,2007                                                                                                                                         •  Black Bodies, White Bodies –
‘Gypsy’ Images in Central Europe at the Turn
of the Twentieth Century (1880–1920) Éva Kovács In: Vol. 3. No. 2. 2020, 72–94 • DOI: 10.29098/crs.v3i2.75
• Kunffy Lajos: Visszaemlékezéseim (szerk.: Horváth Kános). Kaposvár, Somogy Mezei Múzeumok Igazgatósága 2006, 108-109.   (Lajos Kunffy: Meine Erinnerungen (Hrsg.: Kános Horváth) Kaposvár, Somogy Mezei Múzeumok Direktgatósága 2006, 108-109.)                                          ",Painting,GND,xsd:string
Kunffy,Ausstellungen,"Gerhard Baumgartner, Ausstellung Roma & Sinti. Zigeuner-Darstellungen der Moderne (2007, Krems an der Donau) und Kunsthalle Krems",Painting,GND,xsd:string
Kunffy,Beschriftung,"Ermittlung der Daten: Signatur, Vorderseite (links oben): ?
Aufkleber, Rückseite, oben links, auf dem Rahmen: ?",Painting,URL,xsd:string
Kunffy,Werkkommentar ,"Zusammenfassung:  Der ungarische Maler Lajos Kunffy beschreibt in seinen Erinnerungen, wie er ab 1905 begann, Bilder von sogenannten „Zigeunern“ zu malen – besonders von einer Gruppe mit langen Haaren und dunkler Haut, die er als besonders malerisch empfand. Diese Menschen weckten für ihn einen ursprünglichen, exotischen Eindruck. Kunffy stellte fest, dass man vergleichbare „Gestalten“ auch in Ungarn finden könne, und seine Werke fanden internationales Interesse, u.a. auf einer Ausstellung in Paris 1912, wo er als „Maler der Zigeuner“ bekannt wurde.

Er berichtet, dass nach dem Ersten Weltkrieg die langen Haare dieser Männer verschwunden waren – sie wurden als Rekruten geschoren. Um Deserteure zu entlarven, kontrollierten Gendarmen sogar ihre Hüte auf eingenähte Haarsträhnen. Kunffy malte nach dem Krieg weiterhin diese Personen, obwohl ihr charakteristisches äußeres Merkmal – die langen Haare – fehlte. Originaltext In: Roma & Sinti : ""Zigeuner-Darstellungen"" der Moderne ; Katalog zur Ausstellung  S. 78",Painting,ISBN 3-901261-39-7,xsd:string
Kunffy,Angaben_zur_rassistische_Fremdbezeichnung ,Ermittlung der Daten…,Painting,URL,xsd:string
