Property,text
Objekt-ID,Wird intern vergeben; dient der eindeutigen Identifikation und Inventarisierung.
Titel,Preußische Ausführungsanordnung zur Gewerbeordnung des Deutschen Reichs vom 1. Mai 1904
Titelvarianten,G-1904
Original_varianten (inkl. Übersetzungen),X
Urheber*in / Verantwortliche Person (Bitte nutzen sie für die Vergabe des  Gemeinsame Normdatei (GND) die Betaversion des neuen DNB-Katalogs)  ,GND - Link Eingeben
Quelle / Archiv,"Sonder-Beilage zum Amtsblatt, in Amtsblatt der Königlichen Regierung zu Erfurt, Stück 24, 11.01.1904."
Sichtbare oder rekonstruierbare Personen,X
Entstehungsjahr,1904
Ort der Entstehung / Nutzung,Deutsche Reich
Gattung / Genre ,Gesetzestext
Technik,X
Dimensionen:,X
Kurzbeschreibung / Inhaltliche Zusammenfassung,"Versagen von Wandergewerbescheinen bei inländischen Personen, die als ""Zigeuner"" gelabelt werden; Markieren von Wandergewerbescheinen mit dem Zustaz ""Zigeuner"" oder wenn Eigenschaft nicht fesstellbar mit dem Zusatz ""Zieht nach Zigeunerart im Land umher"""
Antiziganistische / Stigmatisierende Elemente / Ambivalente Elemente,"
„§ 67 Von der Bestimmung des § 57b Ziffer 4, wonach der Wandergewerbeschein versagt werden darf, wenn für den Unterhalt der Kinder des Wandergewerbetreibenden und den Schulunterricht seiner schulpflichtigen Kinder nicht genügend gesorgt ist, ist streng Gebrauch zu machen. Desgleichen ist die Erteilung von Wandergewerbescheinen an inländische Zigeuner nach Möglichkeit zu beschränken. Wenn in einzelnen Fällen in Ermangelung gesetzlicher Versagungsgründe dem Antrag eines inländischen Zigeuners stattgegeben werden muß, so ist seine Zigeunereigenschaft in dem Wandergewerbeschein ausdrücklich zu vermerken oder, falls diese Eigenschaft nicht mit Sicherheit festgestellt ist, der Zusatz aufzunehmen: ‚Zieht nach Zigeunerart im Land umher.‘“"
Motive / Topoi ,"Betrug im Handel, Namensschwindel Ausweispapiere, mobile Kriminelle"
Narrative / Diskurse,Verfolgung Polizei und Landratsämter;  Kinder und staatliche Fürsorge
