Property,text
Objekt-ID,Wird intern vergeben; dient der eindeutigen Identifikation und Inventarisierung.
Titel,Zigeunerinnen mit Sonnenblumen
Titelvarianten (inkl. Übersetzungen),Sonnen
Original_varianten (inkl. Übersetzungen),"Z*** mit Sonnenblumen, Zwei Zigeunerinnen mit Sonnenblume und Pferd im Hintergrund"
"Urheber*in / Verantwortliche Person (Bitte nutzen sie für die Vergabe des  Gemeinsame Normdatei (GND) die Betaversion des neuen DNB-Katalogs) 
","Mueller, Otto           GND - https://explore.gnd.network/gnd/118737554"
Quelle / Archiv,"Saarbrücken, Saarlandmuseum - Stiftung Saarländischer Kulturbesitz, Moderne Galerie, Inventar-Nr. NI 1221, Aktenzeichen 30000748, Zugang: Kauf, 1955"
Sichtbare oder rekonstruierbare Personen,Zwei unbekannte Frauen und ein Baby
Entstehungsjahr,1927
Ort der Entstehung / Nutzung,Unbekannt
Gattung / Genre ,Gruppenporträt 
Technik,"Leimfarbe, Rupfen"
Dimensionen:,"

145 cm × 105 cm"
Kurzbeschreibung / Inhaltliche Zusammenfassung,"Expressionistische Darstellung dreier Figuren in einer ländlichen Szene. Es handelt sich um zwei Frauen und ein Baby. Figuren und Objekte sind teils stark vereinfacht dargestellt. 
Im Zentrum steht eine aufrecht stehende Frau mit dunkler Haut, kurzem schwarzen Haar und einem langen, hellen, mit Punkten besetzten Gewand. Die Hände hält sie vor der Brust verschränkt. Rechts unten sitzt eine zweite, ebenfalls dunkelhäutige Frau mit leuchtend gelbem Kopftuch und Oberteil und einem braun-blau gestreiftem Rock. Sie stillt ein Baby.
Links neben der stehenden Frau ragt eine große Sonnenblume ins Bild. Im Hintergrund sieht man weiß verputzte Häuser mit orangefarbenen Dächern, grüne Bäume und ein Pferd."
Antiziganistische / Stigmatisierende Elemente / Ambivalente Elemente,Titel ist antiziganistisch. Romantisierte Darstellung von Landleben (Mutterschaft und Naturdarstellung). Exotisierende Darstellung von „alternativer“ Lebensweise
Motive / Topoi ,"Naturverbundenheit, Familienband"
Narrative / Diskurse,Darstellung von alternativen Leben fernab der Mehrheitsgesellschaft. Romantisierung des Landlebens. 
