Property,text
Objekt-ID,Wird intern vergeben; dient der eindeutigen Identifikation und Inventarisierung.
Titel,Zigeunerisch 
Titelvarianten (inkl. Übersetzungen),Ged-Roman
Original_varianten (inkl. Übersetzungen),Kein Titel des Gedichtes in Romanes Angegeben 
"Urheber*in / Verantwortliche Person (Bitte nutzen sie für die Vergabe des  Gemeinsame Normdatei (GND) die Betaversion des neuen DNB-Katalogs) 
",Heinrich Albrecht von Wlislocki  https://portal.dnb.de/opacPresentation?cqlMode=true&reset=true&referrerPosition=0&referrerResultId=idn%3D116997532%26any&query=idn%3D119242958
Quelle / Archiv,Ermittelt aus dem Realbestand der Bibliothek des ;Dokumentations- und Kulturzentrum Deutscher Sinti und Roma (Nicht Online)
Sichtbare oder rekonstruierbare Personen,No data
Entstehungsjahr,1887
Ort der Entstehung / Nutzung,Mühlbach Siebenbürgen 
Gattung / Genre ,Gedicht/ Übesätzung 
Technik,No data
Dimensionen:,No data
Kurzbeschreibung / Inhaltliche Zusammenfassung,"Das Gedicht behandelt den Jahreszeitenwechsel und den Alltags, Liebes-, Arbeitsleben der Roma. Es will die Lebensweise der ""Zeltzigeuner"" romantisch und tragisch wieder geben. In ihm  tauchen die Beziehungen zu Leben und Tod und die Lebensbedingungen der Roma auf und was mit dem Gedicht als typisch ""Zigeunerisch"" hervorgehoben wird, wie der Titel es schon vermeldet. "
Antiziganistische / Stigmatisierende Elemente / Ambivalente Elemente,"Der Titel ist fraglich, nicht nur weil er ""Ziegeunerisch"" heisst sondern weil es kein Titel im Romanes auftaucht. Armut, Wandere, Gewaltandrohung gegen Frauen, Alkoholismus,  "
Motive / Topoi ,"Freiheit, Normaden leben, Zelt, Naturverbundeheit, Ursprünglichkeit wird mit dem Werden und Vergehen der Natur in zusammenhang gebracht, Trinker- und Alkoholmotive sind zu finden,  ewige tragig im Lebem der Roma sei Gott gegeben. Antimodernistisch. "
Narrative / Diskurse,man es einordenen in den Romantesierenden und Exotisierenden Diskurs im späten 19. Jahrhunderte 
Historischer Kontext,"Erschien tat dieses Gedicht in der Anthropologischen  Mitteilungen aus Ungarn, Jg.1. Nr. 3, 1887. Was in seiner Frühphase eine gemisch darstellte aus Sammlungen von Folkloritischen Märchen, Gedichten und andere Belletritik, Ehtnologischen Studien zu Minderheiten und Volksundlichen Analysen zu der Bevölckerung in Österreich-Ungaren zur Zeit des Konsolodierungen und Minerheiten Kontrolle. Das Intersse an Minderheiten und ihren Leben Wuchs in der Mehrheitsgesellschaft in dieser Zeit Europaweit an. Dieses Medium stellt nun den ersten Versuch dar über die verschiedenen Volksgruppen des Vielvölckerstaates dauerhaft und breitgefächert zu Forschen und zu Berichten. Jedoch ist es auch keine Seltenheit, dass in diesem Medium antiziganistische Motive bediehnt, befeuret oder auch verfestickt wurden, worunter dieses Gedicht mit seiner Romantisierung, Exotisierung und Antimodernistischen Motivlage führte.  "
Agency,"Kritisch wird in einer Fußnote angemerkt, das ein Teil der Übersetzung zu Malerisch ausgeschmückt sei und nicht der Folklore der Roma entsprechen kann. Über seine magelnden Sprachkenntnisse und seine Freienübersetzungen ist aber schon seid den 1960ern und vermehrt auch in den 1980ern bekannt geworden in der Forschung. So bei Martin Ruch: Zur WIssenschaftsgeschichte der deutschsprachigen ""Zigeunerforschung"" von den Anfängen bis 1900, Freiburg 1986,  S. 259ff., 279ff. "
Verknüpfung ,No data
Narrativwandel bei Medienwechsel,No data
Rezeptionsweg,Das Gedicht wird angegeben stammt aus der Sammlung von Wlislocki.
Provenienz,No data
Literatur,No data
Ausstellungen / Aufführungen / Veröffentlichungen,No data
Objekt- oder Werkteil,No data
Rechte / Lizenzen,"Nur Hinweise Aus der Orginalquelle: Hrsg. Anton Hermann  -Verlag: Actiendruckerei der Gesellschaft ""Közmüvelöde´s, Die Verlage Wechseln aber über die Jahre   - Anzeiger der Gesellschaft für Völckerkunde Ungarns (Budapest)"
Digitalisat-Link/Pfad,Teile der Zeitschrift und verschiedene Datensätze von ihr sind online im Internet Archiv: https://archive.org/details/EthnologischeMitteilungenAusUngarn.V11887 
Metadaten-Status,Ist eine selbst erstellte PDF- wie damit umgehen?
Erfasst von,No data
Erfassungsdatum,"‎Dienstag, ‎24. ‎Juni ‎2025, ‏‎14:29:50, wurde der Scan angelegt. "
Kommentar / Anmerkung,No data
Versionsgeschichte,No data
nodeType,Poem
