Property,text
Objekt_ID,Person_2
Link zu diesem Datensatz	,https://d-nb.info/gnd/118776649
Title,Kampf
Akademischer Grad,Prof. Dr. phil. h.c. Dr.-Ing. e.H.
Geschlecht,männlich
Andere Namen,"Kampf, Arthur von, Kampf, Artur, Kampf, A, Kampf, Arthur, I,Kampf, Arthur, I"
Quelle,"Provenienzmerkmal, M/Reg., Thieme-Becker, Vollmer DBA (WBIS), Deutsche Biographie (Stand: 24.10.2014): http://www.deutsche-biographie.de/sfz39683.html,"
Lebensdaten: 1864-1950,Lebensdaten: 1864-1950
Land,Deutschland (XA-DE)
Geografischer Bezug,"Geburtsort: Aachen, Wirkungsort: Düsseldorf, Wirkungsort: Berlin ,Sterbeort: Castrop-Rauxel"
Beruf(e),"Maler, Radierer, Lithograf, Künstler"
Beziehungen zu Organisationen,Akademische Hochschule für die Bildenden Künste (Direktor) (1915-1914/25)
Systematik,"13.4p Personen zu Malerei, Zeichnung, Grafik"
Typ,Person (piz)
Autor von,"Publikationen, Aus meinem Leben, Kampf, Arthur. - Aachen : Verl. Museumsverein, 1950, Arthur Kampf, Kampf, Arthur. - Bielefeld : Velhagen & Klasing, 1944"
Beteiligt an,"21 Publikationen, Frau Gerda F. ist nun arbeitslos, morgens beim Staubwischen gerät sie oft ins Träumen [Dresden, Prissnitzstr. 19] : [D. Fröhlich], [1990], [Sonderausstellung] / 20. Arthur Kampf 1962-65"
nodeType,Person 
