Property,text,
Objekt_ID,Article_2,
Titel,Zige-Bukarest,
Original_headline,"""Zigeuner"" auf Baustellen in Bukarest",
Künstler*in/Autor*in,Karl Friedrich Ströher,
Sichtbare oder genannte Personen,No data,
Entstehungsjahr,No data,
Ort der Entstehung / Nutzung,Bukarest,
Gattung / Genre ,Litertur/Belletristik,
Technik,Druck,
Dimensionen:,No data,
Kurzbeschreibung,Der Hunsrücker Maler verdient sein Geld mit Malerarbeiten in Neubauten und beschreibt die Zustände und Rangordnung +auf Baustellen in Bukarest. Auffällig lang ist seine Charakterisierung der Roma,
Motive / Topoi ,"Schönheitsideale, Arbeitsmigration, Rauchen, ",
Narrative / Diskurse,"Rassismus, Frömmigkeit, Geschlechterrollen, Primitivismus, Hierarchie ",
Historischer Kontext,Bukarest erfährt kontinuierliche Zuwanderung und wird immer mehr zur Metropole ausgebaut ,
Antiziganistische / Stigmatisierende Elemente,"AlternvorderZeit, Hausen, Hässlichkeit, Primitivismus, ", 
Agency,Offenbar sind Roma als Kleinunternehmer zuständig für den Rohbau zahlreicher Wohnhäuser ,
Verknüpfung ,No data,
Narrativwandel bei Medienwechsel,No data,
Rezeptionsweg,No data,
Sammlung / Archiv ,No data,
Provenienz,No data,
Literatur,"Lebenserinnerungen des Malers Friedrich Karl Ströher 1876 - 1925, hrsg. vom Freundeskreises des Werkes Karl Friedrich Ströher und dem Hunsrück-Museum Simmern, Simmern 2004, S. 52
",
Ausstellungen / Aufführungen / Veröffentlichungen,No data,
Objekt- oder Werkteil,"
„Unter den Gehilfen standen die Deutschen obenan. Sie galten bei den Rumänen als Künstler. Zu ihnen zählten auch die Schweizer und Dänen. Dann kamen die Italiener, die dort auch meistens deutsch sprachen, endlich Juden, Griechen und Ruthenen. Ich arbeitete nun noch bei einigen kleineren Meistern und hatte das Glück, kein Geld einzubüßen. Wir arbeiteten meistens in dem Viertel jenseits der Galea Viktoria, dem Aristokraten-oder Bojarenviertel, wo die Landjunker ihre Stadtwohnungen hatten. Es waren auch einstöckige Einfamilienhäuser, aber bei weitem schöner als in dem Viertel, in dem ich hauste. Auf jedem Bau war eine Zigeunerfamilie. Im Sommer kamen sie aus ihren Dörfchen nach Bukarest. Die Männer beaufsichtigten die Baustelle, und die Frauen trugen Material herbei und machten den Mörtel zurecht. Bevor der Rohbau fertig war, schliefen sie auf dem Bürgersteig. Über zwei Reihen von Ziegeln waren Bretter gelegt. Darunter hausten sie. War der Rohbau gestellt, so zogen sie in den Bau ein, in den sie schon das Ungeziefer einschleppten. Wir Maler mussten sie dann von Raum zu Raum treiben. Die Kinder trieben sich splitternackt auf der Straße umher. Die Frauen schleppten ständig Steine und Mörtel heran, die Pfeife dauernd im Munde. Das Essen wurde bei dem Mörteltrog gekocht, Mais in Wasser mit Salz, oder kleine Fische, auf einem Blech gebraten. Die Zigeuner konnten ganz unflätig fluchen, aber sie waren fromm und versäumten keinen kirchlichen Feiertag, deren es viele gab, schon des Faulenzens wegen.
Die Frauen waren fast alle hässlich. Arbeit und Laster, sowie viele Schwangerschaften hatten sie früh altern lassen.
Selten sah ich ein schönes Mädchen. Mit 13 bis 14 Jahren bekamen sie schon ihre ersten Kinder.“

",
Rechte / Lizenzen,No data,
Digitalisat-Link/Pfad,No data,
Metadaten-Status,No data,
Erfasst von,No data,
Erfassungsdatum,No data,
Kommentar / Anmerkung,No data,
Versionsgeschichte,No data,
nodeType,Article,
