Property,text
Objekt-ID,Article-1
Titel,Der Seelenloskauf bei den mohammedanischen Zigeunern der Balkanländer 
Titelvarianten (inkl. Übersetzungen),Zig-Balkan
Original_varianten (inkl. Übersetzungen),No data
"Urheber*in / Verantwortliche Person (Bitte nutzen sie für die Vergabe des  Gemeinsame Normdatei (GND) die Betaversion des neuen DNB-Katalogs) 
",Heinrich Albrecht von Wlislocki  https://portal.dnb.de/opacPresentation?cqlMode=true&reset=true&referrerPosition=0&referrerResultId=idn%3D116997532%26any&query=idn%3D119242958
Quelle / Archiv,Ermittelt aus dem Realbestand der Bibliothek des ;Dokumentations- und Kulturzentrum Deutscher Sinti und Roma (im Einzelnen Nicht Online)
Sichtbare oder rekonstruierbare Personen,No data
Entstehungsjahr,1894
Ort der Entstehung / Nutzung,vermutlich Budapest 
Gattung / Genre ,wissenschaftlicher Artikel 
Technik,No data
Dimensionen:,No data
Kurzbeschreibung / Inhaltliche Zusammenfassung,"Beschreibung von Totenritualen und Eheritualen von moslimischen Seeshaften und ""Wanderzigeunern"""
Antiziganistische / Stigmatisierende Elemente / Ambivalente Elemente,"Antiziganistische Elemente und  Begriffe wie Wanderzigeuner oder Ziegeuner sind enhalten. Das größere Problem an diesem Text das er sich als wissenschaftlicher Text sieht, dass seine mangelnde Konkretheit und Ungereimtheiten, seine nicht nachvollziebare Arbeitsweise, die Beschreibung seiner vermeitlichen Beobachtung die große Mängel aufweisen und damit aber Antiziganistische Topoi und seinem generellen Narrtiven dienlich sind und dieses zementieren. Quellen kritisch betrachtet ist der Text unkonkret wann und wo er diese Beobachtungen machte, es wird generalisert der Balkan, Serbien, Ungar. Wer genau beaobachtet wird welche Gruppe von muslimischen Roma wird nicht benannt, es gibt nur seine Kategeorien von Wanderzigeuner und Seesshaften. Ein konkreter, reales Totenritual was bebachtet wurde, ist nicht beschreiben worden, sondern ddie Rituale werden als generelles Vorgehen beschreiben. Die Wandernden haben wieder die ursprünglichern Rituale die älteren, die Seehaften, seien mehr muslimisch geprägt. Vergleiche mit muslimischen Bestattungsritualen oder von der jeweiligen Regionen feheln vollkommen.  Er strigt ein Netz der Vorstellung , dass diese Rituale jetzt  nur bei muslimischen Roma vorkommen würden, wie auch dann deren Aberglauben von Totenheimsuchungen in den Träumen der Angehöriegen, wenn man den Seelenloskauf nicht richtig vollziehe. Seine Beschreibung wirkt, in dem seinem Text wie von einem dritten wiedergegeben, wobei sich die Frage stellt konnte er mit mohmateanischen Roma reden, hat er welche gekannt. Aus seinen bekannten aufzeichnungen geht hervor, das er mit  Roma aus Siebebürgen einige Zeit zusammen lebte die nicht muslimisch waren. Er versucht zu zeigen, dass diese Bräuche des Seelenloskauf früher für alle Roma galten und referriert dabei auf sein wissenschaftliches Werk. "
Motive / Topoi ,"Ursprünglichkeit, Tradition, Maberglaube, Magie, Exotik trten in den Text an Motiven auf "
Narrative / Diskurse,Die ursprünglichen Wanderzigeuner für ihn stehen bei ihm wieder im Fordergrund 
Historischer Kontext,"Erschienen ist der Text 1894 in der Zeitschrift Ehntnologische Mitteilungen aus Ungarn Nr. 3 und fällt in die Phase der Konsolodierung der Nationallstaaten und dem vergrößerten Intersess an Minderheiten und deren Kontrlle, wo sich Wlislocki ehr als Chronist, oder romatisch angehauchter Bewahrer dieser Rituale (oder seiner Vorstellungen) auftrat, in einem sich veränderden auf die Moderne hinbewegenden Nationalstaat. "
Agency,was und wen er wirklich wann Beobachtet hat lässt sich nicht mit Sicherheit sagen. 
Verknüpfung ,No data
Narrativwandel bei Medienwechsel,No data
Rezeptionsweg,"Aufsatz veröffentlicht in der Zeitschrift: Ehntnologische Mitteilungen aus Ungarn, Nr. 3, 1894. "
Provenienz,No data
Literatur,No data
Ausstellungen / Aufführungen / Veröffentlichungen,No data
Objekt- oder Werkteil,No data
Rechte / Lizenzen,"Nur Hinweise Aus der Orginalquelle: Hrsg. Anton Hermann  -Verlag: Actiendruckerei der Gesellschaft ""Közmüvelöde´s, Die Verlage Wechseln aber über die Jahre   - Anzeiger der Gesellschaft für Völckerkunde Ungarns (Budapest)"
Digitalisat-Link/Pfad,Teile der Zeitschrift und verschiedene Datensätze von ihr sind online im Internet Archiv: https://archive.org/details/EthnologischeMitteilungenAusUngarn.V11887 
Metadaten-Status,Ist eine selbst erstellte PDF- wie damit umgehen?
Erfasst von,No data
Erfassungsdatum,"Dienstag, ‎24. ‎Juni ‎2025, ‏‎14:29:50, wurde der Scan angelegt."
Kommentar / Anmerkung,No data
Versionsgeschichte,No data
nodeType,ScientificArticle
