Property,text
Objekt-ID,No data
Titel,"Zige-paar"""
Original_Headline,"""Zigeunerpaar"""
Künstler*in/Autor*in,Karl Friedrich Ströher
Sichtbare oder genannte Personen,unbekanntes Paar
Entstehungsjahr,1912
Ort der Entstehung / Nutzung,vermutlich Berlin 
Gattung / Genre ,Bildende Kunst
Technik,Öl Gemälde
Dimensionen:,"151,5x116 cm"
Kurzbeschreibung,"Paar in leichter Draufsicht und grellem Sonnenlicht mit Schattenpartien gezeigt. Beide tragen bunte Kleidung, die Frau in farbenfroher Tracht blickt aus dem Bild heraus, während der Mann mit Hut zu ihr schaut. Das Gemälde ist einem pointillistischen Stil, indem die Pinselschläge an Mosaik erinnern. "
Motive / Topoi ,"Exotismus, Buntheit, Hautfarbe "
Narrative / Diskurse,No data
Historischer Kontext,Ströher ist Meisterschüler in Berlin und macht Reisen nach Frankreich und Spanien
Antiziganistische / Stigmatisierende Elemente,No data
Agency,No data
Verknüpfung ,No data
Narrativwandel bei Medienwechsel,No data
Rezeptionsweg,No data
Sammlung / Archiv ,No data
Provenienz,Möglicherweise nach Skizzen aus Spanien oder dort entstanden.
Literatur,"Lebenserinnerungen des Malers Friedrich Karl Ströher 1876 - 1925, hrsg. vom Freundeskreises des Werkes Karl Friedrich Ströher und dem Hunsrück-Museum Simmern, Simmern 2004, S. 52
"
Ausstellungen / Aufführungen / Veröffentlichungen,"""Ströher in Spanien"" Simmern, 2023-2024"
Objekt- oder Werkteil,No data
Rechte / Lizenzen,No data
Digitalisat-Link/Pfad,No data
Metadaten-Status,No data
Erfasst von,No data
Erfassungsdatum,No data
Kommentar / Anmerkung,No data
Versionsgeschichte,No data
nodeType,Painting
