Property,Value,Status
Titel,Zigeunerinnen mit Sonnenblumen,red
Künstler*in/Autor*in,X,red
Sichtbare oder genannte Personen,X,red
Entstehungsjahr,1927,red
Ort der Entstehung / Nutzung,Unbekannt,red
Gattung / Genre,Gruppenporträt,red
Technik,"Leimfarbe, Rupfen",red
Dimensionen,X,red
Kurzbeschreibung,X,red
Motive / Topoi,"Naturverbundenheit, Familienband",red
Narrative / Diskurse,Darstellung von alternativen Leben fernab der Mehrheitsgesellschaft. Romantisierung des Landlebens.,red
Historischer Kontext,"Otto Mueller war Mitglied der expressionistischen Künstlergruppe Brücke, die sich bewusst gegen akademische Kunstkonventionen stellte. Er suchte nach Ursprünglichkeit, Einfachheit und ""Naturverbundenheit"" – Werte, die viele Expressionisten romantisch mit nicht-bürgerlichen oder „exotischen“ Gruppen wie z.B. den Roma verbanden.In den 1920er Jahren, in der Weimarer Republik, waren Romnja gesellschaftlich stark marginalisiert. Sie wurden überwacht, ausgegrenzt und kriminalisiert. Die Tendenzen des aufkommenden Nationalsozialismus sind zur Entstehungszeit des Bilds schon deutlich. Mueller hatte persönliche Kontakte zu einer Roma-Gruppe in Schlesien, mit der er wiederholt reiste.",red
Antiziganistische / Stigmatisierende Elemente,X,red
Agency,Die Figuren sind nicht karikiert oder grotesk. Darstellung von Fürsorge und Wärme. Kind ist Zentrum einer familiären Handlung.,red
Verknüpfung,X,red
Narrativwandel bei Medienwechsel,X,red
Rezeptionsweg,X,red
Sammlung / Archiv,X,red
Provenienz,"Vorbesitzer: Köln, Galerie Aenne AbelsVorbesitzer: Berlin, Mueller, Maschka",red
Literatur,"Neue Kunst in der Orangerie (1929): Vierte große Kunstausstellung Kassel. Ausstellungskatalog. Kassel: Kunstverein Kassel.Barr, Alfred H. (1931): German Painting and Sculpture. Ausstellungskatalog. New York: Museum of Modern Art.Dorner, Alexander, Gosebruch, Ernst, Hartlaub, Gustav F. u. a. (Hrsg.) (1931): Museum der Gegenwart. Zeitschrift der deutschen Museen für neuere Kunst, 1., 2. Berlin.Allgemeine deutsche Kunstausstellung (1946). [o. Verlagsort].Balzer, Wolfgang (1947): Otto Mueller, 1874–1930. Gemälde, Aquarelle, Handzeichnungen, Lithographien. Dresden: Staatliche Kunstsammlungen.Otto Mueller (1949): Ausstellungskatalog. Berlin: Galerie Franz.Buchheim, Lothar Günther (1956): Die Künstlergemeinschaft Brücke. Feldafing.Bornschein, Rudolf & Muller, Joseph-Emile (1956): Peintures, Dessins, Gravures du Musée de Sarrebruck. Nouvelles Acquisitions. Luxemburg: Musée de l'État de Luxembourg.Schmalenbach, Werner (1956): Otto Mueller. Ausstellungskatalog. Hannover: Kestner-Gesellschaft.Otto Mueller (1956): Ausstellungskatalog. Bremen: Kunsthalle Bremen.Otto Mueller (1956): Ausstellungskatalog. Hagen: Karl-Ernst-Osthaus-Museum.Otto Mueller (1957): Ausstellungskatalog. Duisburg: Städtisches Kunstmuseum Duisburg / Museumsverein Duisburg.Gemälde und Grafik aus dem Besitz des Saarlandmuseums (1957): Ausstellungskatalog. Stuttgart: Württembergischer Kunstverein.Dieck, W. (1957): Die deutschen Impressionisten und Expressionisten des Saarlandmuseums. Trier: Städtisches Museum Simeonstift.Moderne Galerie des Museums Saarbrücken (1957): Ausstellungskatalog. Opladen / Leverkusen: Städtisches Museum Leverkusen, Schloss Morsbroich.Fischer, Wend (1958): Weltausstellung Brüssel 1958 – Deutschland. Ausstellungskatalog. Brüssel: Universal and International Exhibition.Read, Herbert Edward & Zeller, Alfred P. (1959): Geschichte der Modernen Malerei. München.Gombert, Hermann (1959): Von Courbet bis Miró. Freiburg: Augustinermuseum.A. B. (1959): „Saarland-Museum. Gedanken zu einer Ausstellung“. In: Saarländischer Heimat- und Kulturbund Saarheimat, 3, Saarbrücken, März 1959, S. 23.Bornschein, Rudolf (1960): „Von Renoir bis Jawlensky – Die jüngste deutsche Galerie“. In: Europa – Politik Wirtschaft Kultur, 11(3), März 1960.Buchheim, Lothar Günther (1963): Otto Mueller. Leben und Werk. Feldafing.Saarland-Museum (1963): Meisterwerke in der Kunsthalle Bremen. Bremen.Maggio Musicale Fiorentino (1964): Ausstellungskatalog. Florenz.Stadtler, Wolfgang (1964): Was sagt uns die moderne Malerei. Freiburg / Basel / Wien.Kindler Malerei Lexikon (1964): IV. Zürich.Von Courbet bis Santomaso (1966): Ausstellungskatalog. Saarbrücken: Saarlandmuseum & Gebr. Röchling Bank.Moderne Galerie Saarbrücken (1968): Bestandskatalog. Saarbrücken: Saarlandmuseum, Hrsg. Rudolf Bornschein.Buchheim, Lothar Günther (1968): Otto Mueller. Reprint von 1963. Feldafing, S. 57.Landesanstalt für Erziehung und Unterricht (1968): Meisterwerke der Kunst, 16, Stuttgart, Nr. 9.Bornschein, Rudolf (1971): „Das Saarland-Museum in Saarbrücken“. In: Die Kunst und das schöne Heim, 83(6), München, S. 341.Der Neue Brockhaus (1974): Band 3. Wiesbaden.Maler und Werk (1974): Dresden.Bornschein, Rudolf (1976): Moderne Galerie Saarbrücken. Saarbrücken: Saarlandmuseum.Dittmann, Lorenz / Költzsch, Erika S. / Költzsch, Georg W. (1980): Künstler der Brücke. Heckel, Kirchner, Mueller, Pechstein, Schmidt-Rottluff. Gemälde, Aquarelle, Zeichnungen, Druckgraphik 1909–1930. Saarbrücken: Saarlandmuseum, Hrsg. Georg W. Költzsch, S. 172.Moderne Galerie im Saarland-Museum Saarbrücken (1981): Museumsführer. Braunschweig: Saarlandmuseum.Jähner, Horst (1986): Künstlergruppe „Brücke“. Geschichte einer Gemeinschaft. Berlin, S. 454.Elger, Dietmar (1988): Expressionismus. Eine deutsche Kunstrevolution. Köln, S. 100.Decker, Marlene (1993): Gestaltungselemente im Bildwerk von Otto Mueller. Dortmund, S. 97.Lüttichau, Mario-Andreas von (1993): Otto Mueller. Ein Romantiker unter den Expressionisten. Köln, S. 128.Benhamou, Brigitte, Brandts, Evelyne, Grumbach, Eric & Marhuenda, Marie (1995): Grenzenlos. Terminales / L / ES & S / Allemand. Paris.Jähner, Horst (1996): Künstlergruppe „Brücke“, Geschichte einer Gemeinschaft und das Lebenswerk ihrer Repräsentanten. Berlin: Henschel-Verlag, S. 240.Meisterwerke des 20. Jahrhunderts – Saarland Museum Saarbrücken (1999): Bestandskatalog. Ostfildern: Saarlandmuseum, Hrsg. Ernst-Gerhard Güse, S. 86.Saarland Museum Saarbrücken (1999): In: Prestel-Museumsführer, Hrsg. Ernst-Gerhard Güse. München / London / New York, S. 37.Lüttichau, Mario-Andreas von & Pirsig, Tanja (2003): Otto Mueller. Werkverzeichnis. München.Die Brücke in der Südsee – Exotik der Farbe (2005): Ausstellungskatalog. Saarbrücken: Saarland Museum, Hrsg. Ralph Melcher, S. 220.Ich sehe was, was Du nicht siehst (2014): Ausstellungskatalog. Dillingen: Gesellschaft zur Förderung des Saarländischen Kulturbesitzes e. V., Hrsg. Inge Weber, S. 211.Elvers-Svamberk, Kathrin, Janzing, Godehard, Mönig, Roland, Stocker, Mona, Uthemann, Ernest W., Müller, Alexandra (2016): Entre deux horizons. Avant-gardes allemands et françaises du Saarlandmuseum. Metz: Saarlandmuseum / Centre Pompidou-Metz, Hrsg. Roland Mönig, S. 197.Augustin, Roland, Elvers-Svamberk, Kathrin, Mönig, Roland, Stocker, Mona, Uthemann, Ernest, Wolf, Eva (2017): Saarlandmuseum – Moderne Galerie: Die Sammlung. Saarbrücken: Saarlandmuseum, Hrsg. Roland Mönig, S. 94.Quarantäne (2020): S. 108.",red
Ausstellungen / Aufführungen / Veröffentlichungen,"Ausstellung: Neue Kunst in der Orangerie, 1929.06.01.-1929.09.01., KasselAusstellung: German Painting and Sculpture, 1931.03.13.-1931.04.26., New YorkAusstellung: Allgemeine Deutsche Kunstausstellung, 1946.08.25.-1946.10.31., DresdenAusstellung: Otto Mueller, 1874-1930, 1947.09, DresdenAusstellung: Otto Mueller, 1874-1930, 1947, ChemnitzAusstellung: Otto Mueller zum 75. Geburtstag, 1949, BerlinAusstellung: Neuerwerbungen des Saarland-Museums, 1955.07.06.-1955.10.09., SaarbrückenAusstellung: Peintures, Dessins, Gravures du Musée de Sarrebruck, 1956.03.17.-1956.04.08., LuxembourgAusstellung: Otto Mueller, 1956.09.18.-1956.10.21., HannoverAusstellung: Otto Mueller, 1956, BremenAusstellung: Otto Mueller, 1956.12.09.-1957.01.13., HagenAusstellung: Otto Mueller, 1957.01.26.-1957.02.24., DuisburgAusstellung: Moderne Galerie des Museums Saarbrücken, 1957.06.04.-1957.07.07., LeverkusenAusstellung: Das Pferd in der bildenden Kunst, 1957.08.03.-1957.09.12., Baden-BadenAusstellung: Die deutschen Impressionisten und Expressionisten des Saarlandmuseums, 1957, MannheimAusstellung: Die deutschen Impressionisten und Expressionisten des Saarlandmuseums, 1957, FreiburgAusstellung: Die deutschen Impressionisten und Expressionisten des Saarlandmuseums, 1957.09.13.-1957.10.13., TrierAusstellung: Gemälde und Graphik aus dem Besitz des Saarlandmuseums, 1957.07.20.-1957.09.01., StuttgartAusstellung: Gemälde und Graphik aus dem Besitz des Saarlandmuseums, 1957, KarlsruheAusstellung: Gemälde und Graphik aus dem Besitz des Saarlandmuseums, 1957, LudwigshafenAusstellung: Weltausstellung, 1958.04.18.-1958.10.19., BrüsselAusstellung: Von Courbet bis Miró, 1959.04.12.-1959.08.30., FreiburgAusstellung: Deutsche Expressionisten aus Eigenbesitz, 1961.05.08.-1961.09.20., SaarbrückenAusstellung: Saarland-Museum, 1963.04.07.-1963.06.03., BremenAusstellung: Mostra dell´ espressionismo, 1964.05.-1964.06., FlorenzAusstellung: Künstler der Brücke, 1980.10.03.-1980.11.23., SaarbrückenAusstellung: Die Brücke in der Südsee, 2005.10.22.-2006.01.08., SaarbrückenAusstellung: Entre deux horizons / Zwischen zwei Horizonten, 2016.06.29.-2017.01.16., Metz",red
Objekt- oder Werkteil,Vollständiges Werk,red
Rechte / Lizenzen,X,red
Digitalisat-Link/Pfad,https://prometheus.uni-koeln.de/rack-images/saarbruecken_ifk/original/MDAwLzAwNi85ODUvaW1hZ2UuanBn?_asd=1753719040cb8cb5b85e81e374bd46dc829ad9f681f990d74e,red
Metadaten-Status,X,red
Erfasst von,Stefan Binder,red
Erfassungsdatum,2025-07-28 00:00:00,red
Kommentar / Anmerkung,X,red
Versionsgeschichte,X,red
